Model,Accuracy,ROC-AUC,Precision,Recall,F1
Gradient Boosting,0.7854785478547854,0.7180851063829786,0.7857142857142857,0.9473684210526315,0.8590021691973969
CatBoost,0.7788778877887789,0.7148783467372493,0.7909836065573771,0.9234449760765551,0.8520971302428256
XGBoost,0.7755775577557755,0.7109080728901558,0.7831325301204819,0.9330143540669856,0.851528384279476
SVM,0.6864686468646864,0.7020513081543316,0.7766990291262136,0.7655502392344498,0.7710843373493976
LightGBM,0.7722772277227723,0.6960449964369336,0.78,0.9330143540669856,0.8496732026143791
PyTorch BinaryClassificationModel,0.7095709570957096,0.6831161559605008,0.7788018433179723,0.8086124401913876,0.7934272300469484
Logistic Regression,0.636963696369637,0.6819454341850759,0.7861271676300579,0.6507177033492823,0.7120418848167539
Stacking Ensemble (initial),0.7557755775577558,0.6773134480301334,0.7848101265822784,0.8899521531100478,0.8340807174887892
Gradient Boosting — Tuned,0.7656765676567657,0.6677949709864603,0.776,0.9282296650717703,0.8453159041394336
AdaBoost — Tuned,0.7392739273927392,0.6676931690929452,0.7754237288135594,0.8755980861244019,0.8224719101123595
CatBoost — Tuned,0.7392739273927392,0.6663697444772472,0.7708333333333334,0.8851674641148325,0.8240534521158129
Bagging — Tuned best,0.7788778877887789,0.6643846075537005,0.7886178861788617,0.9282296650717703,0.8527472527472527
CNN,0.7029702970297029,0.6640283009263972,0.7692307692307693,0.8133971291866029,0.7906976744186046
LightGBM — Tuned,0.7392739273927392,0.6610251450676983,0.773109243697479,0.8803827751196173,0.8232662192393736
AdaBoost,0.7425742574257426,0.6602870813397129,0.7763713080168776,0.8803827751196173,0.8251121076233184
ANN,0.6897689768976898,0.6558841494451797,0.7699530516431925,0.784688995215311,0.7772511848341233
Voting (Soft) — Tuned,0.7524752475247525,0.6546625267229971,0.7723577235772358,0.9090909090909091,0.8351648351648352
XGBoost — Tuned,0.7557755775577558,0.6477908989107196,0.7800829875518672,0.8995215311004785,0.8355555555555556
Deep MLP,0.6831683168316832,0.6477399979639622,0.7703349282296651,0.7703349282296651,0.7703349282296651
Stacking — Tuned,0.7458745874587459,0.6471291866028708,0.7773109243697479,0.8851674641148325,0.8277404921700223
Random Forest — Tuned,0.7524752475247525,0.6462638705079915,0.7745901639344263,0.9043062200956937,0.8344370860927153
Random Forest,0.735973597359736,0.6431080118090196,0.7698744769874477,0.8803827751196173,0.8214285714285714
Extra Trees — Tuned,0.7656765676567657,0.6422681461875192,0.7827868852459017,0.9138755980861244,0.8432671081677704
Extra Trees,0.7557755775577558,0.6381706199735315,0.7800829875518672,0.8995215311004785,0.8355555555555556
Voting (Hard) — Tuned,0.7491749174917491,,0.7714285714285715,0.9043062200956937,0.8325991189427313
